num,region,ordendelitos,Delitos,ene2015,feb2015,mar2015,abr2015,may2015,jun2015,jul2015,ago2015,sep2015,oct2015,nov2015,dic2015,ene2016,feb2016,mar2016,abr2016,may2016,jun2016,jul2016,ago2016,sep2016,oct2016,nov2016,dic2016,ene2017,feb2017,mar2017,abr2017,may2017,jun2017,jul2017,ago2017,sep2017,oct2017,nov2017,dic2017,ene2018,feb2018,mar2018,abr2018,may2018,jun2018,jul2018,ago2018,sep2018,oct2018,nov2018,dic2018,ene2019,feb2019,mar2019,abr2019,may2019,jun2019,jul2019,ago2019,sep2019,oct2019,nov2019,dic2019
3,III,10,Robo a transeúnte total,347.0,364.0,473.0,511.0,472.0,476.0,470.0,392.0,445.0,423.0,414.0,420.0,328.0,324.0,350.0,431.0,379.0,258.0,238.0,251.0,440.0,407.0,355.0,473.0,421.0,416.0,385.0,354.0,489.0,470.0,531.0,606.0,660.0,778.0,712.0,633.0,725.0,414.0,360.0,294.0,281.0,301.0,214.0,447.0,424.0,476.0,518.0,483.0,351.0,292.0,222.0,270.0,323.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,11,Violación,20.0,12.0,11.0,10.0,7.0,14.0,7.0,7.0,8.0,12.0,7.0,13.0,4.0,18.0,18.0,13.0,16.0,21.0,27.0,36.0,31.0,23.0,22.0,14.0,9.0,21.0,10.0,10.0,7.0,11.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,5.0,13.0,16.0,12.0,14.0,30.0,33.0,36.0,28.0,31.0,29.0,34.0,31.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,12,Trata de personas,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,13,Narcomenudeo,74.0,78.0,96.0,90.0,82.0,76.0,86.0,105.0,91.0,88.0,83.0,50.0,104.0,81.0,81.0,76.0,68.0,44.0,28.0,22.0,29.0,52.0,42.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,5.0,13.0,9.0,3.0,9.0,20.0,7.0,7.0,4.0,9.0,10.0,22.0,13.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,1,Homicidio doloso,3.0,5.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,6.0,7.0,7.0,3.0,4.0,8.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,8.0,2.0,3.0,4.0,7.0,3.0,4.0,1.0,4.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,2,Feminicidio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,3,Homicidio culposo,9.0,12.0,9.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,4.0,2.0,8.0,7.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,4,Secuestro,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,5,Extorsión,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,6,Robo con violencia,16.0,24.0,20.0,20.0,21.0,18.0,16.0,21.0,10.0,13.0,23.0,20.0,23.0,14.0,10.0,24.0,23.0,19.0,8.0,6.0,12.0,12.0,16.0,12.0,15.0,17.0,21.0,11.0,22.0,32.0,35.0,25.0,26.0,28.0,40.0,30.0,27.0,32.0,31.0,26.0,45.0,38.0,42.0,40.0,40.0,33.0,40.0,27.0,39.0,24.0,40.0,29.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,7,Robo de vehículo,45.0,48.0,41.0,29.0,35.0,28.0,40.0,30.0,40.0,32.0,41.0,32.0,31.0,40.0,33.0,34.0,35.0,38.0,29.0,22.0,18.0,20.0,21.0,28.0,18.0,30.0,38.0,16.0,39.0,36.0,47.0,63.0,46.0,34.0,59.0,50.0,69.0,70.0,71.0,62.0,78.0,65.0,72.0,80.0,63.0,64.0,83.0,89.0,77.0,50.0,70.0,63.0,59.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,8,Robo a casa habitación,9.0,6.0,9.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,7.0,2.0,2.0,1.0,1.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,8.0,18.0,11.0,14.0,13.0,11.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,12.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,9,Robo de negocio,0.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,4.0,1.0,10.0,7.0,4.0,4.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,10,Robo a transeúnte total,9.0,6.0,7.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,4.0,4.0,6.0,10.0,3.0,5.0,7.0,8.0,9.0,3.0,4.0,10.0,6.0,12.0,8.0,7.0,11.0,9.0,4.0,6.0,3.0,8.0,4.0,10.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,11,Violación,5.0,6.0,1.0,3.0,5.0,6.0,1.0,6.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,6.0,1.0,2.0,6.0,5.0,3.0,3.0,0.0,1.0,4.0,5.0,3.0,6.0,4.0,4.0,8.0,5.0,4.0,4.0,6.0,3.0,7.0,5.0,4.0,9.0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,2.0,8.0,4.0,3.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,12,Trata de personas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,13,Narcomenudeo,8.0,17.0,15.0,15.0,9.0,7.0,8.0,10.0,5.0,6.0,7.0,4.0,2.0,2.0,2.0,7.0,10.0,10.0,1.0,8.0,5.0,16.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,8.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,1,Homicidio doloso,36.0,27.0,36.0,29.0,48.0,41.0,27.0,41.0,39.0,37.0,46.0,51.0,46.0,37.0,50.0,43.0,65.0,42.0,52.0,63.0,44.0,46.0,47.0,41.0,49.0,35.0,49.0,51.0,56.0,54.0,37.0,52.0,58.0,66.0,54.0,48.0,57.0,35.0,32.0,58.0,47.0,53.0,64.0,43.0,56.0,57.0,71.0,68.0,59.0,45.0,70.0,56.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,2,Feminicidio,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,3,Homicidio culposo,40.0,18.0,18.0,10.0,9.0,6.0,12.0,8.0,9.0,11.0,8.0,13.0,2.0,10.0,11.0,14.0,6.0,15.0,2.0,11.0,14.0,20.0,15.0,21.0,26.0,36.0,26.0,35.0,33.0,21.0,12.0,13.0,19.0,24.0,17.0,39.0,14.0,20.0,13.0,18.0,15.0,13.0,10.0,20.0,20.0,7.0,19.0,26.0,15.0,14.0,13.0,13.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,4,Secuestro,3.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,5.0,2.0,5.0,3.0,6.0,7.0,8.0,3.0,4.0,5.0,11.0,3.0,2.0,7.0,5.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,6.0,3.0,9.0,4.0,3.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,5,Extorsión,13.0,15.0,16.0,13.0,9.0,8.0,11.0,14.0,9.0,6.0,6.0,4.0,5.0,8.0,6.0,13.0,10.0,14.0,14.0,17.0,28.0,31.0,26.0,21.0,17.0,14.0,17.0,14.0,16.0,11.0,16.0,33.0,24.0,23.0,33.0,28.0,10.0,14.0,15.0,25.0,25.0,26.0,20.0,24.0,27.0,34.0,28.0,28.0,32.0,25.0,47.0,41.0,38.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,6,Robo con violencia,1578.0,1459.0,1591.0,1617.0,1447.0,1462.0,1456.0,1406.0,1386.0,1425.0,1479.0,1499.0,1231.0,1450.0,1499.0,1477.0,1474.0,1294.0,1251.0,1372.0,1657.0,1609.0,1554.0,1704.0,2031.0,1659.0,1990.0,1736.0,2238.0,2579.0,2554.0,2757.0,2806.0,3098.0,2853.0,2788.0,2605.0,1881.0,1793.0,1681.0,1872.0,1770.0,1804.0,1917.0,1820.0,2043.0,1868.0,1724.0,1895.0,1700.0,1897.0,2001.0,2462.0,2152.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,7,Robo de vehículo,1214.0,1019.0,1129.0,1037.0,1084.0,1041.0,1027.0,1079.0,1082.0,1118.0,1144.0,1065.0,978.0,1065.0,1131.0,1117.0,1113.0,1082.0,1070.0,985.0,1094.0,949.0,971.0,858.0,871.0,854.0,1077.0,967.0,1069.0,1180.0,1217.0,1331.0,1447.0,1500.0,1476.0,1247.0,1414.0,1290.0,1431.0,1399.0,1433.0,1225.0,1381.0,1381.0,1290.0,1480.0,1345.0,1130.0,1277.0,1107.0,1343.0,1213.0,1298.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,8,Robo a casa habitación,167.0,120.0,139.0,112.0,92.0,98.0,91.0,89.0,73.0,81.0,81.0,84.0,79.0,85.0,71.0,68.0,73.0,62.0,121.0,130.0,146.0,157.0,150.0,134.0,161.0,137.0,135.0,121.0,130.0,121.0,170.0,152.0,171.0,184.0,170.0,148.0,159.0,109.0,149.0,133.0,153.0,129.0,152.0,137.0,129.0,134.0,147.0,176.0,169.0,147.0,148.0,174.0,167.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,9,Robo de negocio,172.0,188.0,211.0,205.0,140.0,158.0,173.0,148.0,177.0,167.0,186.0,199.0,142.0,161.0,161.0,161.0,137.0,120.0,62.0,43.0,118.0,126.0,139.0,173.0,226.0,181.0,180.0,142.0,189.0,314.0,287.0,302.0,299.0,324.0,329.0,330.0,295.0,187.0,141.0,129.0,154.0,154.0,163.0,247.0,324.0,332.0,309.0,312.0,280.0,238.0,251.0,374.0,451.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,10,Robo a transeúnte total,735.0,728.0,726.0,772.0,700.0,716.0,688.0,687.0,631.0,609.0,605.0,686.0,521.0,632.0,672.0,611.0,707.0,499.0,399.0,497.0,634.0,590.0,621.0,850.0,803.0,836.0,985.0,883.0,1157.0,1208.0,1209.0,1362.0,1372.0,1540.0,1392.0,1321.0,1197.0,652.0,556.0,542.0,589.0,623.0,693.0,625.0,626.0,712.0,713.0,701.0,766.0,652.0,624.0,775.0,1082.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,11,Violación,18.0,25.0,20.0,18.0,29.0,22.0,26.0,37.0,22.0,31.0,27.0,27.0,24.0,44.0,48.0,46.0,49.0,30.0,39.0,42.0,44.0,46.0,34.0,40.0,37.0,33.0,41.0,41.0,39.0,43.0,53.0,37.0,37.0,33.0,27.0,30.0,34.0,33.0,36.0,51.0,44.0,35.0,47.0,49.0,53.0,41.0,54.0,42.0,39.0,37.0,43.0,27.0,55.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,12,Trata de personas,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,13,Narcomenudeo,180.0,291.0,293.0,300.0,261.0,254.0,275.0,217.0,175.0,129.0,61.0,67.0,80.0,98.0,96.0,100.0,89.0,78.0,45.0,54.0,112.0,157.0,162.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,24.0,27.0,27.0,53.0,83.0,42.0,36.0,40.0,41.0,43.0,29.0,73.0,89.0,110.0,71.0,87.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VI,1,Homicidio doloso,25.0,23.0,22.0,28.0,23.0,27.0,17.0,22.0,36.0,25.0,22.0,19.0,27.0,29.0,23.0,23.0,36.0,23.0,33.0,28.0,26.0,33.0,22.0,26.0,25.0,23.0,24.0,32.0,32.0,31.0,31.0,22.0,25.0,35.0,27.0,27.0,37.0,38.0,37.0,22.0,31.0,40.0,40.0,38.0,32.0,36.0,45.0,52.0,48.0,37.0,51.0,39.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VI,2,Feminicidio,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VI,3,Homicidio culposo,20.0,15.0,9.0,10.0,9.0,6.0,8.0,14.0,4.0,11.0,9.0,8.0,3.0,7.0,7.0,12.0,7.0,10.0,1.0,5.0,9.0,10.0,16.0,13.0,11.0,18.0,16.0,9.0,9.0,5.0,9.0,10.0,19.0,14.0,15.0,17.0,8.0,5.0,6.0,7.0,13.0,8.0,12.0,11.0,14.0,12.0,10.0,22.0,5.0,12.0,9.0,8.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VI,4,Secuestro,3.0,2.0,3.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,VI,5,Extorsión,7.0,7.0,6.0,9.0,6.0,6.0,9.0,6.0,5.0,11.0,5.0,7.0,4.0,8.0,7.0,5.0,2.0,9.0,9.0,28.0,15.0,17.0,13.0,11.0,11.0,10.0,15.0,10.0,7.0,14.0,17.0,20.0,13.0,14.0,16.0,7.0,18.0,9.0,28.0,22.0,12.0,7.0,21.0,20.0,12.0,21.0,14.0,19.0,18.0,21.0,24.0,24.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
